iter	Passed	Remaining
0	1	104
1	1	65
2	1	53
3	1	45
4	2	41
5	2	38
6	2	35
7	2	33
8	3	31
9	3	30
10	3	29
11	4	29
12	4	29
13	4	28
14	4	27
15	5	27
16	5	26
17	5	25
18	5	25
19	6	24
20	6	24
21	6	23
22	7	23
23	7	23
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	19
32	9	19
33	9	18
34	9	18
35	10	18
36	10	17
37	10	17
38	10	17
39	11	16
40	11	16
41	11	15
42	11	15
43	11	15
44	12	14
45	12	14
46	12	14
47	12	14
48	13	13
49	13	13
50	13	13
51	13	12
52	14	12
53	14	12
54	14	11
55	14	11
56	15	11
57	15	11
58	15	10
59	15	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	7
70	18	7
71	19	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	20	5
79	21	5
80	21	5
81	21	4
82	21	4
83	22	4
84	22	3
85	22	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
