iter	Passed	Remaining
0	59	59252
1	59	29879
2	60	20085
3	60	15188
4	61	12236
5	61	10268
6	62	8868
7	63	7814
8	63	6994
9	64	6339
10	64	5806
11	65	5368
12	65	4987
13	66	4665
14	66	4384
15	67	4135
16	67	3918
17	68	3726
18	68	3553
19	69	3397
20	69	3253
21	70	3121
22	70	3000
23	71	2888
24	71	2789
25	72	2698
26	72	2611
27	72	2533
28	73	2461
29	73	2392
30	74	2329
31	74	2268
32	75	2213
33	76	2162
34	76	2111
35	77	2067
36	77	2020
37	78	1978
38	78	1938
39	79	1899
40	79	1862
41	80	1828
42	80	1794
43	81	1764
44	81	1736
45	82	1708
46	82	1680
47	83	1653
48	83	1626
49	84	1603
50	84	1578
51	85	1555
52	85	1532
53	86	1510
54	86	1491
55	87	1470
56	87	1453
57	88	1433
58	88	1414
59	89	1396
60	89	1378
61	90	1363
62	90	1346
63	91	1332
64	91	1317
65	91	1301
66	92	1287
67	92	1274
68	93	1260
69	93	1246
70	94	1233
71	94	1221
72	95	1209
73	95	1198
74	96	1186
75	96	1174
76	97	1166
77	97	1156
78	98	1148
79	99	1139
80	99	1129
81	99	1119
82	100	1106
83	100	1096
84	101	1087
85	101	1079
86	102	1071
87	102	1063
88	103	1054
89	103	1046
90	104	1039
91	104	1032
92	105	1024
93	105	1017
94	106	1011
95	106	1004
96	107	998
97	107	992
98	108	986
99	108	980
100	109	974
101	110	969
102	110	963
103	111	959
104	112	955
105	112	951
106	113	948
107	114	943
108	114	938
109	115	933
110	116	929
111	116	925
112	117	920
113	117	915
114	118	909
115	118	905
116	119	899
117	119	894
118	120	890
119	120	886
120	121	881
121	121	877
122	122	872
123	122	868
124	123	864
125	124	860
126	124	855
127	125	851
128	125	848
129	126	843
130	127	845
131	127	841
132	128	837
133	129	834
134	129	831
135	130	828
136	130	824
137	131	820
138	131	817
139	132	813
140	132	810
141	133	805
142	133	802
143	134	798
144	134	795
145	135	792
146	136	789
147	136	786
148	137	783
149	137	780
150	138	777
151	138	773
152	139	770
153	139	767
154	140	764
155	140	761
156	141	758
157	141	754
158	144	766
159	145	766
160	146	762
161	146	759
162	147	756
163	147	754
164	148	752
165	149	749
166	149	746
167	150	743
168	150	740
169	151	737
170	151	734
171	152	731
172	152	728
173	153	726
174	153	723
175	153	720
176	154	718
177	154	715
178	155	712
179	155	710
180	156	707
181	156	705
182	157	702
183	157	700
184	158	698
185	159	698
186	160	697
187	160	695
188	161	694
189	162	692
190	163	691
191	163	689
192	164	686
193	164	684
194	165	682
195	165	679
196	166	677
197	166	675
198	167	672
199	167	670
200	168	668
201	168	666
202	169	664
203	169	662
204	170	659
205	170	658
206	171	656
207	171	654
208	172	651
209	172	649
210	173	648
211	173	646
212	175	650
213	176	648
214	177	646
215	177	644
216	178	642
217	178	640
218	179	638
219	179	636
220	179	634
221	180	632
222	180	630
223	181	628
224	181	626
225	182	624
226	182	622
227	183	620
228	183	619
229	184	617
230	184	615
231	185	613
232	185	611
233	186	609
234	186	607
235	187	606
236	187	604
237	188	602
238	188	600
239	188	598
240	189	596
241	189	595
242	190	593
243	191	592
244	191	591
245	192	589
246	192	587
247	193	585
248	193	584
249	194	582
250	194	581
251	195	579
252	195	577
253	196	576
254	196	574
255	197	572
256	197	570
257	197	569
258	198	567
259	198	565
260	199	563
261	199	562
262	200	560
263	200	559
264	201	557
265	201	556
266	202	554
267	202	553
268	202	551
269	203	549
270	203	548
271	204	546
272	205	546
273	205	544
274	205	542
275	206	541
276	206	539
277	207	538
278	207	536
279	208	535
280	208	534
281	209	532
282	209	531
283	210	530
284	210	528
285	211	527
286	211	526
287	212	524
288	212	523
289	213	521
290	213	520
291	214	519
292	214	517
293	215	516
294	215	515
295	216	514
296	216	512
297	217	511
298	217	510
299	218	508
300	218	507
301	219	506
302	219	505
303	220	504
304	220	502
305	221	501
306	221	500
307	222	499
308	222	497
309	223	496
310	223	495
311	224	494
312	224	492
313	224	491
314	225	489
315	225	488
316	226	487
317	226	485
318	227	484
319	227	483
320	227	481
321	228	480
322	228	479
323	229	478
324	229	476
325	230	475
326	230	474
327	230	473
328	231	471
329	231	470
330	232	469
331	232	468
332	233	466
333	233	465
334	233	464
335	234	463
336	234	461
337	235	460
338	235	459
339	235	458
340	236	456
341	236	455
342	237	454
343	237	453
344	238	452
345	238	451
346	239	449
347	239	448
348	239	447
349	240	446
